Day,Month,Year,choice 1,choice 2,choice 3,choice 4,choice 5,Powerball
Saturday 13,July,2019,13,23,32,35,68,21
Wednesday 10,July,2019,7,9,26,44,68,3
Saturday 6,July,2019,4,8,23,46,65,1
Wednesday 3,July,2019,40,43,45,50,61,25
Saturday 29,June,2019,13,17,24,59,62,8
Wednesday 26,June,2019,1,5,16,22,54,24
Saturday 22,June,2019,3,6,11,14,66,21
Wednesday 19,June,2019,4,18,21,26,38,1
Saturday 15,June,2019,8,11,14,16,49,14
Wednesday 12,June,2019,5,35,38,42,57,13
Saturday 8,June,2019,9,13,42,48,60,18
Wednesday 5,June,2019,17,23,28,34,38,8
Saturday 1,June,2019,6,15,34,45,52,8
Wednesday 29,May,2019,3,32,34,42,61,7
Saturday 25,May,2019,1,2,39,43,66,2
Wednesday 22,May,2019,7,10,20,44,57,3
Saturday 18,May,2019,2,10,25,66,67,26
Wednesday 15,May,2019,7,17,33,61,68,4
Saturday 11,May,2019,6,8,9,37,40,26
Wednesday 8,May,2019,1,45,53,64,66,3
Saturday 4,May,2019,6,16,23,30,61,2
Wednesday 1,May,2019,5,23,28,56,66,17
Saturday 27,April,2019,2,29,41,45,62,6
Wednesday 24,April,2019,6,32,35,36,65,4
Saturday 20,April,2019,3,27,30,63,65,1
Wednesday 17,April,2019,1,15,17,46,66,15
Saturday 13,April,2019,4,17,26,32,49,10
Wednesday 10,April,2019,12,21,23,39,67,6
Saturday 6,April,2019,15,33,43,59,60,8
Wednesday 3,April,2019,16,19,25,32,49,18
Saturday 30,March,2019,21,52,54,64,68,4
Wednesday 27,March,2019,16,20,37,44,62,12
Saturday 23,March,2019,24,25,52,60,66,5
Wednesday 20,March,2019,10,14,50,53,63,21
Saturday 16,March,2019,30,34,39,53,67,11
Wednesday 13,March,2019,18,36,45,47,69,14
Saturday 9,March,2019,5,6,45,55,59,14
Wednesday 6,March,2019,6,10,21,35,46,23
Saturday 2,March,2019,1,19,25,27,68,21
Wednesday 27,February,2019,21,31,42,49,59,23
Saturday 23,February,2019,4,6,14,20,32,13
Wednesday 20,February,2019,27,49,50,51,52,2
Saturday 16,February,2019,29,30,41,48,64,1
Wednesday 13,February,2019,2,8,14,24,69,26
Saturday 9,February,2019,1,2,3,7,39,25
Wednesday 6,February,2019,5,13,28,38,63,21
Saturday 2,February,2019,10,17,18,43,65,13
Wednesday 30,January,2019,2,12,16,29,54,6
Saturday 26,January,2019,8,12,20,21,32,10
Wednesday 23,January,2019,23,25,47,48,50,24
Saturday 19,January,2019,5,8,41,65,66,20
Wednesday 16,January,2019,14,29,31,56,61,1
